"ID" "NumSeq" "NumPos" "TreeLength" "CoMapResult"
"O43909" 999 919 180.127 "X"
"O60306" 1001 1485 191.745 "X"
"O60313" 1001 960 122.048 "X"
"O60341" 1001 852 156.712 "X"
"O60449" 858 1722 269.291 "X"
"O60568" 524 738 95.218 "Included"
"O60602" 352 858 138.246 "Included"
"O60669" 1001 478 122.951 "X"
"O60678" 1001 531 121.291 "X"
"O60701" 1001 494 92.785 "X"
"O60741" 712 890 202.368 "X"
"O60844" 269 167 58.775 "Included"
"O60880" 741 128 64.183 "Included"
"O60888" 411 179 105.25 "Included"
"O60939" 288 215 41.298 "Included"
"O60942" 987 597 284.551 "X"
"O75027" 1001 752 147.96 "X"
"O75419" 254 566 51.957 "Included"
"O75469" 991 434 168.64 "X"
"O75530" 761 441 136.615 "X"
"O75643" 1001 2136 85.272 "X"
"O75689" 1001 374 177.477 "X"
"O75694" 256 1391 64.26 "Included"
"O75695" 368 350 114.247 "Included"
"O75762" 441 1119 163.091 "X"
"O75818" 167 363 37.049 "X"
"O75828" 1001 277 152.065 "X"
"O75844" 1001 475 171.943 "X"
"O75874" 1001 414 63.066 "X"
"O75880" 1001 301 231.641 "X"
"O75907" 1001 488 179.795 "X"
"O76090" 1001 585 203.933 "X"
"O94759" 997 1503 212.527 "X"
"O94766" 806 335 142.995 "X"
"O94886" 423 807 57.62 "X"
"O94925" 1001 669 206.094 "X"
"O95045" 415 317 64.015 "Included"
"O95050" 350 263 64.991 "X"
"O95140" 366 757 46.352 "Included"
"O95149" 401 360 94.344 "Included"
"O95340" 991 614 89.045 "X"
"O95342" 1001 1321 140.576 "X"
"O95453" 270 639 88.973 "Included"
"O95461" 476 756 180.775 "X"
"O95477" 1001 2261 188.093 "X"
"O95479" 1001 791 99.968 "X"
"O95497" 397 513 83.063 "X"
"O95571" 643 254 116.16 "X"
"O95631" 1001 604 111.75 "X"
"O95786" 979 925 299.119 "X"
"O95822" 343 493 78.572 "Included"
"O95831" 310 613 90.05 "Included"
"O95833" 650 236 41.901 "X"
"O96017" 1001 543 162.058 "X"
"P00367" 836 558 113.752 "X"
"P00387" 1001 301 128.213 "X"
"P00439" 948 452 114.879 "X"
"P00441" 1001 154 96.417 "X"
"P00480" 848 354 115.557 "X"
"P00505" 1001 430 87.985 "X"
"P00558" 1001 417 73.866 "X"
"P00797" 1001 406 126.64 "X"
"P00813" 222 363 48.947 "Included"
"P00918" 1001 260 131.033 "X"
"P00966" 1001 412 79.531 "X"
"P00973" 277 400 55.442 "Included"
"P01023" 985 1474 199.532 "X"
"P01024" 466 1663 132.67 "X"
"P01031" 180 1676 59.444 "Included"
"P01111" 1001 189 51.995 "X"
"P01112" 1001 189 49.302 "X"
"P01116" 1001 189 53.278 "X"
"P02489" 1001 173 157.216 "X"
"P02511" 1001 175 153.029 "X"
"P02766" 314 147 68.34 "X"
"P02771" 240 609 27.543 "Included"
"P02787" 471 698 88.489 "X"
"P02792" 1001 175 112.09 "X"
"P03952" 999 638 200.644 "X"
"P04080" 358 98 88.687 "X"
"P04156" 97 253 25.931 "Included"
"P04179" 1001 222 107.119 "X"
"P04181" 1001 439 115.746 "X"
"P04424" 1001 464 108.873 "X"
"P04637" 372 393 66.922 "X"
"P04792" 1001 205 176.481 "X"
"P04798" 1001 512 187.297 "X"
"P05062" 1001 364 60.072 "X"
"P05089" 926 322 126.606 "X"
"P05093" 581 508 126.678 "X"
"P05108" 1001 521 236.077 "X"
"P05164" 1001 745 163.592 "X"
"P05177" 1001 516 205.668 "X"
"P05186" 1001 524 204.608 "X"
"P06132" 1001 367 114.159 "X"
"P06239" 1001 509 59.201 "X"
"P06280" 1001 429 175.835 "X"
"P06400" 169 928 44.74 "X"
"P06727" 90 396 16.15 "X"
"P06744" 1001 558 90.913 "X"
"P06746" 800 335 136.247 "X"
"P06858" 1001 475 186.059 "X"
"P07101" 944 528 128.718 "X"
"P07195" 1001 334 95.207 "X"
"P07237" 1001 508 144.683 "X"
"P07320" 1001 174 72.353 "X"
"P07355" 1001 339 72.125 "X"
"P07451" 1001 260 118.547 "X"
"P07477" 1001 247 122.837 "X"
"P07550" 1001 413 120.041 "X"
"P07686" 1001 556 215.33 "X"
"P07737" 345 140 33.349 "X"
"P07741" 1001 180 108.668 "X"
"P07900" 1001 732 49.75 "X"
"P07902" 740 379 112.633 "X"
"P07911" 995 640 366.808 "X"
"P07954" 1001 510 87.95 "X"
"P08034" 1001 283 86.675 "X"
"P08100" 893 348 111.624 "X"
"P08183" 1001 1280 137.979 "X"
"P08236" 450 651 93.694 "X"
"P08237" 1001 780 88.815 "X"
"P08246" 1001 267 190.19 "X"
"P08397" 1001 361 158.705 "X"
"P08684" 1001 503 221.109 "X"
"P08709" 1001 466 191.01 "X"
"P08842" 1001 583 201.041 "X"
"P08865" 1001 295 78.337 "X"
"P09172" 530 617 124.076 "X"
"P09237" 1001 267 103.315 "X"
"P09467" 1001 338 73.917 "X"
"P09525" 1000 319 79.335 "X"
"P09668" 1001 335 159.099 "X"
"P09874" 1001 1014 228.544 "X"
"P09884" 1001 1462 200.284 "X"
"P09936" 1001 223 149.756 "X"
"P0C0L4" 400 1744 101.027 "Included"
"P0C7P0" 283 127 80.345 "Included"
"P0CG29" 1001 244 213.999 "X"
"P0CG30" 1001 244 221.701 "X"
"P0DP23" 1001 149 9.832 "Included"
"P0DP24" 1001 149 9.832 "Included"
"P0DP25" 1001 149 9.832 "Included"
"P10253" 1001 952 180.188 "X"
"P10415" 490 239 90.552 "Included"
"P10632" 1001 490 121.08 "X"
"P10635" 1001 497 133.044 "X"
"P10746" 250 265 69.873 "Included"
"P10768" 943 282 123.34 "X"
"P10828" 1001 461 138.775 "X"
"P11086" 283 282 51.883 "Included"
"P11166" 1001 492 110.371 "X"
"P11233" 1001 206 65.031 "X"
"P11245" 268 290 46.707 "Included"
"P11413" 1001 515 94.448 "X"
"P11473" 996 427 164.653 "X"
"P11498" 1001 1178 87.979 "X"
"P11509" 1001 494 118.461 "X"
"P11511" 553 503 159.762 "X"
"P11712" 1001 490 119.196 "X"
"P12081" 1001 509 116.755 "X"
"P12314" 616 374 115.88 "X"
"P13569" 201 1480 15.589 "Included"
"P13716" 944 330 84.505 "X"
"P13807" 980 737 93.464 "X"
"P13866" 876 664 132.221 "X"
"P13929" 1001 434 49.857 "X"
"P14416" 1001 443 169.986 "X"
"P14780" 1001 707 116.13 "X"
"P14868" 1001 501 106.684 "X"
"P15085" 1001 419 161.391 "X"
"P15144" 1001 967 191.837 "X"
"P15153" 1001 192 33.504 "X"
"P15289" 1001 507 184.879 "X"
"P15382" 220 129 32.901 "Included"
"P15538" 1001 503 231.136 "X"
"P15559" 271 274 50.66 "Included"
"P15735" 1001 406 98.973 "X"
"P15848" 1001 533 222.776 "X"
"P15882" 1001 459 130.926 "X"
"P16219" 1001 412 106.378 "X"
"P16278" 1001 677 189.22 "X"
"P16442" 470 354 86.059 "X"
"P16452" 487 691 80.41 "Included"
"P16455" 430 207 149.598 "X"
"P16615" 1001 1042 77.485 "X"
"P16671" 490 472 112.474 "Included"
"P17066" 1001 643 33.133 "X"
"P17302" 1001 382 112.6 "X"
"P17516" 1001 323 120.335 "X"
"P17643" 360 537 46.018 "Included"
"P17735" 941 454 161.592 "X"
"P17931" 1001 250 191.485 "X"
"P18206" 399 1134 62.239 "Included"
"P18440" 274 290 47.18 "Included"
"P18858" 1001 919 194.734 "X"
"P19099" 1001 503 242.385 "X"
"P19367" 1001 917 114.865 "X"
"P19440" 1001 569 181.116 "X"
"P19801" 445 751 86.813 "Included"
"P19971" 114 482 34.982 "Included"
"P20138" 523 364 109.936 "X"
"P20592" 1001 715 95.623 "X"
"P20711" 1001 480 117.191 "X"
"P20813" 1001 491 116.319 "X"
"P20815" 1001 502 221.11 "X"
"P20839" 1001 514 69.782 "X"
"P21397" 801 527 192.165 "X"
"P21453" 1001 382 89.329 "X"
"P21549" 278 392 53.304 "Included"
"P21695" 1001 349 107.368 "X"
"P21917" 1001 467 144.923 "X"
"P21964" 858 271 168.497 "X"
"P22033" 249 750 49.892 "Included"
"P22234" 273 425 44.262 "Included"
"P22304" 201 550 45.463 "Included"
"P22557" 1001 587 142.641 "X"
"P22830" 1001 423 136.316 "X"
"P22888" 555 699 122.232 "X"
"P22914" 1001 178 75.787 "X"
"P23258" 1001 451 63.187 "X"
"P23280" 1001 308 158.117 "X"
"P23368" 1001 584 94.719 "X"
"P23378" 1001 1020 112.468 "X"
"P23526" 1001 432 47.973 "X"
"P23945" 793 695 167.747 "X"
"P24530" 704 442 130.416 "X"
"P24666" 973 158 172.157 "X"
"P24752" 1001 427 101.818 "X"
"P25024" 1001 350 131.166 "X"
"P26038" 1001 577 84.958 "X"
"P26196" 1001 483 58.868 "X"
"P26358" 836 1616 264.147 "X"
"P26678" 85 52 2.375 "Included"
"P26718" 1001 216 280.548 "X"
"P27216" 1001 316 87.105 "X"
"P27707" 607 260 107.066 "X"
"P27918" 1001 469 173.699 "X"
"P28482" 1001 360 55.008 "X"
"P29033" 1001 226 54.871 "X"
"P29218" 1001 277 149.668 "X"
"P29372" 256 298 66.83 "Included"
"P29466" 562 404 144.625 "X"
"P29508" 1001 390 124.352 "X"
"P29965" 94 261 13.696 "Included"
"P29972" 1001 269 77.624 "X"
"P29973" 1001 690 160.689 "X"
"P30038" 1001 563 110.01 "X"
"P30040" 170 261 36.417 "Included"
"P30084" 1001 290 146.77 "X"
"P30085" 1001 196 120.97 "X"
"P30153" 1001 589 70.945 "X"
"P30531" 1001 599 85.061 "X"
"P30556" 1001 359 120.348 "X"
"P30566" 866 484 91.902 "X"
"P30613" 1001 574 94.587 "X"
"P30793" 1001 250 160.021 "X"
"P30968" 388 328 78.29 "Included"
"P31213" 1001 254 213.748 "X"
"P31327" 1001 1500 76.519 "X"
"P31350" 1001 389 94.652 "X"
"P31749" 1001 480 83.653 "X"
"P31751" 1001 481 85.36 "X"
"P31939" 983 592 94.204 "X"
"P32298" 1001 578 86.494 "X"
"P32322" 1001 319 165.408 "X"
"P32456" 805 591 166.67 "X"
"P32754" 979 393 123.124 "X"
"P33261" 1001 490 120.299 "X"
"P33763" 1001 92 86.807 "X"
"P33897" 1001 745 98.958 "X"
"P34059" 1001 522 180.631 "X"
"P34897" 1001 504 83.864 "X"
"P34913" 1001 555 178.614 "X"
"P34931" 1001 641 28.661 "X"
"P34947" 1001 590 92.258 "X"
"P34972" 463 360 57.614 "Included"
"P35052" 497 558 60.722 "Included"
"P35222" 412 781 43.23 "Included"
"P35236" 1001 360 92.957 "X"
"P35270" 831 261 208.434 "X"
"P35462" 1001 400 128.887 "X"
"P35475" 133 653 31.08 "Included"
"P35520" 1001 551 157.645 "X"
"P35523" 1001 988 177.156 "X"
"P35557" 1001 465 110.332 "X"
"P35558" 440 622 63.11 "Included"
"P35609" 1001 894 56.853 "X"
"P35610" 1001 550 186.726 "X"
"P35670" 1001 1465 158.46 "X"
"P35914" 1001 325 123.745 "X"
"P36507" 1001 400 95.899 "X"
"P36543" 1001 226 105.984 "X"
"P36551" 1001 454 197.334 "X"
"P36776" 1001 959 145.04 "X"
"P36871" 1001 562 76.462 "X"
"P36897" 1001 503 103.079 "X"
"P37173" 1001 567 106.77 "X"
"P37231" 1001 505 114.464 "X"
"P37268" 935 417 139.035 "X"
"P37837" 1001 337 116.05 "X"
"P37840" 281 140 23.186 "Included"
"P38484" 83 337 22.69 "Included"
"P38646" 1001 679 62.874 "X"
"P38919" 1001 411 37.412 "X"
"P38935" 1001 993 178.352 "X"
"P40763" 578 770 48.896 "Included"
"P40879" 1001 764 150.373 "X"
"P40926" 1001 338 72.843 "X"
"P41143" 1001 372 87.055 "X"
"P41159" 66 167 6.81 "Included"
"P41180" 1001 1078 175.028 "X"
"P41181" 1001 271 120.204 "X"
"P41273" 43 254 9.921 "Included"
"P42224" 538 750 54.948 "Included"
"P42330" 1001 323 121.903 "X"
"P42336" 1001 1068 134.777 "X"
"P42658" 690 865 127.063 "X"
"P42771" 1001 156 163.003 "X"
"P42785" 1001 496 193.576 "X"
"P42898" 1001 656 127.054 "X"
"P43005" 1001 524 98.936 "X"
"P43007" 1000 532 101.888 "X"
"P43034" 1001 410 120.997 "X"
"P43220" 1001 463 99.537 "X"
"P43235" 1001 329 168.419 "X"
"P43354" 1001 598 75.282 "X"
"P43403" 1001 619 96.352 "X"
"P43405" 1001 635 102.264 "X"
"P45381" 199 313 33.714 "Included"
"P45954" 1001 432 108.228 "X"
"P46597" 690 345 159.535 "X"
"P46976" 1001 350 200.427 "X"
"P47712" 654 749 107.516 "X"
"P47895" 1001 512 74.787 "X"
"P47898" 1001 357 83.571 "X"
"P47929" 1001 136 157.093 "X"
"P47989" 1001 1333 111.759 "X"
"P48039" 459 350 66.126 "Included"
"P48449" 1001 732 121.095 "X"
"P48547" 1001 511 93.224 "X"
"P48637" 1001 474 175.1 "X"
"P48643" 1001 541 57.083 "X"
"P48730" 1001 415 84.783 "X"
"P48736" 1001 1102 147.103 "X"
"P48740" 1001 699 176.035 "X"
"P48775" 240 406 46.483 "Included"
"P49137" 1001 400 100.258 "X"
"P49189" 1001 494 101.859 "X"
"P49407" 733 418 82.563 "X"
"P49591" 1001 514 109.54 "X"
"P49638" 889 278 154.031 "X"
"P49675" 278 285 38.972 "Included"
"P49747" 1001 757 159.493 "X"
"P49753" 526 483 94.544 "X"
"P49773" 1001 126 119.716 "X"
"P49914" 660 203 154.97 "X"
"P49917" 429 911 103.234 "Included"
"P49959" 986 708 196.252 "X"
"P50135" 159 292 24.871 "Included"
"P50225" 1001 295 151.008 "X"
"P50226" 1001 295 150.165 "X"
"P50336" 679 477 299.402 "X"
"P50440" 193 423 27.415 "Included"
"P50443" 1001 739 145.431 "X"
"P50897" 1001 306 186.508 "X"
"P51159" 1001 221 48.426 "X"
"P51161" 315 128 44.202 "Included"
"P51570" 539 392 124.764 "X"
"P51580" 200 245 59.711 "Included"
"P51649" 1001 535 139.327 "X"
"P51654" 261 580 45.569 "Included"
"P51681" 1001 352 128.05 "X"
"P51688" 663 502 143.867 "X"
"P51788" 1001 898 149.244 "X"
"P51857" 1001 326 118.226 "X"
"P51946" 848 323 142.481 "X"
"P52209" 1001 483 59.183 "X"
"P52292" 1001 529 81.547 "X"
"P52788" 423 366 76.438 "Included"
"P52789" 1001 917 146.6 "X"
"P52895" 1001 323 120.181 "X"
"P53602" 972 400 136.45 "X"
"P53778" 1001 367 46.527 "Included"
"P54317" 1001 469 202.508 "X"
"P54577" 1001 528 159.797 "X"
"P54652" 1001 639 27.431 "X"
"P54802" 621 743 122.118 "X"
"P54819" 1001 239 89.359 "X"
"P54868" 1001 508 103.174 "X"
"P55017" 912 1021 209.457 "X"
"P55040" 1001 296 97.898 "X"
"P55064" 1001 265 103.194 "X"
"P55072" 1001 806 30.295 "X"
"P55210" 1001 303 232.937 "X"
"P55211" 1001 416 270.347 "X"
"P55809" 1001 520 86.667 "X"
"P55957" 83 195 14.03 "Included"
"P56192" 1001 900 161.862 "X"
"P56373" 708 397 91.374 "X"
"P56545" 1001 445 134.694 "X"
"P57771" 1001 180 83.257 "X"
"P58743" 1001 744 154.305 "X"
"P58753" 117 221 36.799 "Included"
"P60484" 1001 403 198.762 "X"
"P60709" 1001 375 4.927 "Included"
"P60763" 1001 192 34.748 "X"
"P60891" 1001 318 40.895 "Included"
"P60953" 1001 191 28.029 "Included"
"P61011" 1001 504 65.435 "X"
"P61024" 1001 79 80.505 "X"
"P61916" 261 151 80.661 "Included"
"P61960" 354 85 23.747 "Included"
"P61981" 1001 247 32.419 "Included"
"P62873" 1001 340 25.06 "Included"
"P63000" 1001 192 33.044 "X"
"P63241" 1001 154 62.551 "X"
"P63252" 1001 427 50.188 "Included"
"P63316" 1001 161 12.496 "Included"
"P67870" 1001 215 62.61 "X"
"P68400" 1001 391 63.486 "X"
"P69905" 924 142 86.308 "X"
"P78330" 696 225 91.504 "X"
"P78363" 1001 2273 191.655 "X"
"P78368" 1001 415 61.859 "X"
"P82251" 1001 487 105.397 "X"
"P83110" 1001 453 202.906 "X"
"P83111" 274 547 139.699 "Included"
"P84074" 1001 193 24.646 "Included"
"P84077" 1001 181 9.334 "Included"
"P98194" 1001 919 100.068 "X"
"Q00059" 352 246 105.943 "Included"
"Q00266" 1001 395 57.757 "X"
"Q00534" 1001 326 97.995 "X"
"Q00536" 1001 496 84.433 "X"
"Q00604" 108 133 11.547 "Included"
"Q01433" 1001 879 126.883 "X"
"Q01970" 1001 1234 154.751 "X"
"Q02083" 309 359 58.823 "Included"
"Q02127" 921 395 151.629 "X"
"Q02750" 1001 393 92.6 "X"
"Q02790" 1001 459 151.97 "X"
"Q03154" 1001 408 202.838 "X"
"Q03393" 288 145 56.531 "Included"
"Q03426" 951 396 178.904 "X"
"Q04446" 1001 702 95.875 "X"
"Q04771" 1001 509 98.505 "X"
"Q04828" 1001 323 120.539 "X"
"Q05193" 1001 864 86.568 "X"
"Q05315" 291 142 63.412 "Included"
"Q05329" 1001 585 141.907 "X"
"Q05639" 1001 463 28.858 "X"
"Q05823" 1001 741 240.174 "X"
"Q06141" 637 175 126.703 "X"
"Q06278" 1001 1338 114.335 "X"
"Q06609" 1001 339 66.941 "X"
"Q07021" 193 282 42.431 "Included"
"Q07343" 1001 736 171.728 "X"
"Q07837" 918 685 242.582 "X"
"Q07869" 1001 468 107.15 "X"
"Q07889" 810 1333 180.482 "X"
"Q08209" 1001 521 50.485 "X"
"Q08334" 119 325 31.54 "Included"
"Q08830" 1000 312 133.77 "X"
"Q08AF3" 201 891 27.976 "Included"
"Q08AH3" 488 577 68.533 "Included"
"Q09013" 1001 629 85.838 "X"
"Q09161" 303 790 50.113 "Included"
"Q12794" 710 435 121.846 "X"
"Q13093" 355 441 91.622 "Included"
"Q13255" 1001 1194 112.012 "X"
"Q13285" 1001 461 115.228 "X"
"Q13426" 102 336 19.291 "Included"
"Q13510" 356 395 66.039 "Included"
"Q13635" 919 1447 222.719 "X"
"Q14353" 314 236 43.259 "Included"
"Q14376" 1001 348 92.452 "X"
"Q14393" 1001 678 202.961 "X"
"Q14524" 1001 2016 82.08 "X"
"Q14654" 1001 390 41.085 "Included"
"Q15046" 1001 597 106.087 "X"
"Q15125" 852 230 154.017 "X"
"Q15582" 431 683 122.361 "Included"
"Q15661" 1001 275 166.743 "X"
"Q15848" 1001 244 89.843 "X"
"Q16348" 680 729 189.586 "X"
"Q16595" 906 210 295.726 "X"
"Q16647" 465 500 84.644 "Included"
"Q16678" 1001 543 180.356 "X"
"Q16696" 1001 494 118.602 "X"
"Q16740" 1001 277 176.024 "X"
"Q16819" 999 746 287.319 "X"
"Q16853" 453 763 89.435 "Included"
"Q16854" 574 277 102.973 "X"
"Q5HYA8" 198 995 51.584 "Included"
"Q5JRX3" 792 1037 150.803 "X"
"Q5JS54" 180 123 48.903 "Included"
"Q5S007" 994 2527 288.36 "X"
"Q5SRI9" 271 462 43.17 "Included"
"Q5VT66" 830 337 220.115 "X"
"Q6N022" 1001 2769 119.995 "X"
"Q6NSJ0" 728 714 181.88 "X"
"Q6NVY1" 1001 386 146.788 "X"
"Q6P1M3" 406 1020 56.407 "Included"
"Q6PI48" 1001 645 209.69 "X"
"Q719H9" 1001 257 116.959 "X"
"Q7LBE3" 1001 791 182.331 "X"
"Q7LG56" 1001 351 73.613 "X"
"Q7Z3Z2" 151 195 22.004 "Included"
"Q7Z5Q5" 272 900 82.287 "Included"
"Q7Z7L1" 212 901 31.816 "Included"
"Q86XP0" 856 818 207.614 "X"
"Q86Y38" 461 959 137.582 "X"
"Q86YT5" 1001 568 158.372 "X"
"Q8IV63" 540 474 108.724 "X"
"Q8IVH4" 223 418 60.206 "Included"
"Q8IWU9" 949 490 125.437 "X"
"Q8IZY2" 1001 2146 179.484 "X"
"Q8N465" 1001 521 150.954 "X"
"Q8NBK3" 318 374 76.635 "Included"
"Q8NBP7" 1001 692 301.257 "X"
"Q8NET8" 511 790 71.566 "Included"
"Q8NHX9" 182 752 46.704 "Included"
"Q8NI60" 1001 647 210.622 "X"
"Q8TB36" 277 358 51.892 "Included"
"Q8TCG1" 115 905 16.239 "Included"
"Q8TCS8" 513 783 92.863 "Included"
"Q8TD43" 650 1214 110.858 "X"
"Q8WXF7" 602 558 119.044 "X"
"Q8WZA1" 762 660 151.185 "X"
"Q92889" 958 916 179.372 "X"
"Q92963" 1001 219 79.217 "X"
"Q93008" 525 2570 162.919 "X"
"Q93099" 1001 445 93.147 "X"
"Q96C36" 1001 320 168.58 "X"
"Q96CW9" 1001 530 133.792 "X"
"Q96EY8" 286 250 77.693 "Included"
"Q96F81" 377 1524 126.288 "Included"
"Q96GA7" 1001 329 172.768 "X"
"Q96P20" 1001 1036 175.553 "X"
"Q96RR1" 317 684 85.193 "Included"
"Q99497" 798 189 129.922 "X"
"Q99714" 1001 261 168.26 "X"
"Q99758" 1001 1704 178.861 "X"
"Q9BVS4" 999 552 234.914 "X"
"Q9BY41" 1001 377 63.42 "X"
"Q9BYX4" 1001 1025 262.717 "X"
"Q9BZ23" 1001 570 179.829 "X"
"Q9BZK7" 1001 514 188.904 "X"
"Q9BZP6" 1001 476 195.451 "X"
"Q9BZR6" 1001 473 151.09 "X"
"Q9GZZ9" 630 404 142.66 "X"
"Q9H2X9" 1001 1139 107.471 "X"
"Q9H3H5" 986 408 133.737 "X"
"Q9H611" 1001 641 316.516 "X"
"Q9H9S5" 140 495 44.469 "Included"
"Q9HAN9" 1001 279 135.766 "X"
"Q9HBA0" 569 871 72.254 "Included"
"Q9NP58" 1001 842 144.825 "X"
"Q9NP59" 254 571 70.577 "Included"
"Q9NQ11" 1001 1180 145.844 "X"
"Q9NRG7" 420 293 71.337 "Included"
"Q9NRK6" 1001 738 209.02 "X"
"Q9NSU2" 181 314 56.814 "Included"
"Q9NUT2" 1001 735 176.107 "X"
"Q9NUW8" 587 608 152.178 "X"
"Q9NWZ3" 1001 460 134.25 "X"
"Q9NYA1" 743 384 161.991 "X"
"Q9NZ08" 1001 941 171.216 "X"
"Q9NZH6" 279 218 50.858 "Included"
"Q9P2J5" 1001 1176 124.905 "X"
"Q9UBK8" 1001 698 160.079 "X"
"Q9UBR1" 391 384 56.025 "Included"
"Q9UGM6" 917 360 179.58 "X"
"Q9UHD2" 1001 729 257.125 "X"
"Q9UHN6" 454 1383 84.657 "Included"
"Q9UKY0" 44 176 4.769 "Included"
"Q9ULK4" 225 1368 33.108 "Included"
"Q9ULV1" 1001 537 88.772 "X"
"Q9ULW8" 405 664 50.166 "Included"
"Q9UM07" 394 663 49.542 "Included"
"Q9UMX1" 181 484 23.912 "Included"
"Q9UNQ0" 1001 655 219.132 "X"
"Q9Y253" 1001 713 324.686 "X"
"Q9Y2M0" 332 1017 128.608 "Included"
"Q9Y2Z4" 914 477 192.665 "X"
"Q9Y3A5" 956 250 110.539 "X"
"Q9Y3Z3" 634 626 197.039 "X"
"Q9Y5X0" 1001 201 83.613 "X"
"Q9Y5Y9" 1001 1956 80.942 "X"
"Q9Y6J6" 155 123 20.289 "Included"
