Method,ID,THR,CLOSE,FAR,POS,NEG,AUC,AUPR
CoMap,B2RXH2,0,8,16,1593,1593,0.51067168863779,0.529616174340606
DCA,B2RXH2,0,8,16,1593,1593,0.76019220940327,0.779647707214733
GaussDCA,B2RXH2,0,8,16,1593,1593,0.744868183109642,0.768248612601335
ZMIp,B2RXH2,0,8,16,1593,1593,0.595572516135999,0.606767387185565
PSICOV,B2RXH2,0,8,16,1593,1593,0.622398724173437,0.637361943425236
PHACE,B2RXH2,5,8,16,784,784,0.717814517388589,0.737526966692261
CAPS,B2RXH2,5,8,16,784,784,0.572570673677634,0.622799525999601
CAPS_Bootstrap,B2RXH2,5,8,16,784,784,0.571381390566431,0.60747527332805
CoMap,B2RXH2,5,8,16,784,784,0.508928571428571,0.525567521947994
DCA,B2RXH2,5,8,16,784,784,0.675467253227821,0.69215266164529
GaussDCA,B2RXH2,5,8,16,784,784,0.654369273219492,0.679424539562077
ZMIp,B2RXH2,5,8,16,784,784,0.55350797844648,0.574379042442994
PSICOV,B2RXH2,5,8,16,784,784,0.480550096314036,0.494904457284395
PHACE,O00141,0,8,16,1341,1341,0.816160822474349,0.844161386346837
CAPS,O00141,0,8,16,1341,1341,0.57263353168943,0.625124116984836
CAPS_Bootstrap,O00141,0,8,16,1341,1341,0.572766992477816,0.626242142861224
CoMap,O00141,0,8,16,1341,1341,0.506353011570494,0.51926575921607
DCA,O00141,0,8,16,1341,1341,0.710643108613169,0.728785912181359
GaussDCA,O00141,0,8,16,1341,1341,0.70177853183123,0.714913322619327
ZMIp,O00141,0,8,16,1341,1341,0.555980405731919,0.563371988432557
PSICOV,O00141,0,8,16,1341,1341,0.655807963271591,0.666658426171555
PHACE,O00141,5,8,16,612,612,0.684074501260198,0.730646565598837
CAPS,O00141,5,8,16,612,612,0.533413964714426,0.56320063558648
CAPS_Bootstrap,O00141,5,8,16,612,612,0.533397945234739,0.559192893466641
CoMap,O00141,5,8,16,612,612,0.504084967320261,0.513285234340731
DCA,O00141,5,8,16,612,612,0.661286791405015,0.668142934771898
GaussDCA,O00141,5,8,16,612,612,0.65133602460592,0.653807274329175
ZMIp,O00141,5,8,16,612,612,0.508085832372165,0.503543617565618
PSICOV,O00141,5,8,16,612,612,0.567813127429621,0.558031433519955
PHACE,O00187,0,8,16,1661,1661,0.893970867596428,0.902021916091113
CAPS,O00187,0,8,16,1661,1661,0.655721747741237,0.729951831965429
CAPS_Bootstrap,O00187,0,8,16,1661,1661,0.65535983089041,0.727839263583121
CoMap,O00187,0,8,16,1661,1661,0.508729680915111,0.525095498868319
DCA,O00187,0,8,16,1661,1661,0.799917793949157,0.82461067558766
GaussDCA,O00187,0,8,16,1661,1661,0.774388248159334,0.799592382914918
ZMIp,O00187,0,8,16,1661,1661,0.62185977778994,0.647846472072362
PSICOV,O00187,0,8,16,1661,1661,SameVal,0
PHACE,O00187,5,8,16,926,926,0.898011139670378,0.902798739055468
CAPS,O00187,5,8,16,926,926,0.67161180021365,0.747531178376822
CAPS_Bootstrap,O00187,5,8,16,926,926,0.671099832531756,0.745096696601321
CoMap,O00187,5,8,16,926,926,0.506479481641469,0.519585601000445
DCA,O00187,5,8,16,926,926,0.765062812253637,0.789337543250599
GaussDCA,O00187,5,8,16,926,926,0.736018267566671,0.761788670102932
ZMIp,O00187,5,8,16,926,926,0.582777827017899,0.581128048942995
PSICOV,O00187,5,8,16,926,926,SameVal,0
PHACE,O00189,0,8,16,1209,1209,0.765421456528479,0.779468629653716
CAPS,O00189,0,8,16,1209,1209,0.613931151872399,0.648002200831833
CAPS_Bootstrap,O00189,0,8,16,1209,1209,0.609938830702458,0.6204645553101
CoMap,O00189,0,8,16,1209,1209,0.505355135628088,0.512221854283194
DCA,O00189,0,8,16,1209,1209,0.751152953346185,0.754775702101738
GaussDCA,O00189,0,8,16,1209,1209,0.742343917722132,0.743785817160029
ZMIp,O00189,0,8,16,1209,1209,0.555153278998633,0.559077894789518
PSICOV,O00189,0,8,16,1209,1209,0.608960162990421,0.630432949144336
PHACE,O00189,5,8,16,700,700,0.631559183673469,0.642843728227156
CAPS,O00189,5,8,16,700,700,0.58344693877551,0.628838192084168
CAPS_Bootstrap,O00189,5,8,16,700,700,0.579571428571429,0.601700892120612
CoMap,O00189,5,8,16,700,700,0.50140612244898,0.501928715247669
DCA,O00189,5,8,16,700,700,0.668228571428571,0.662139550074872
GaussDCA,O00189,5,8,16,700,700,0.660044897959183,0.651015023513885
ZMIp,O00189,5,8,16,700,700,0.478639795918367,0.503721223728975
PSICOV,O00189,5,8,16,700,700,0.493834693877551,0.513356186007534
PHACE,O00204,0,8,16,1391,1391,0.866759764553995,0.881544937985771
CAPS,O00204,0,8,16,1391,1391,0.536093175756028,0.567841670071394
CAPS_Bootstrap,O00204,0,8,16,1391,1391,0.535717958882226,0.559100052527656
CoMap,O00204,0,8,16,1391,1391,0.511861969805895,0.53229885767951
DCA,O00204,0,8,16,1391,1391,0.815356086498344,0.832254438972128
GaussDCA,O00204,0,8,16,1391,1391,0.810904133122399,0.828681238683595
ZMIp,O00204,0,8,16,1391,1391,0.642022429286349,0.648202800142817
PSICOV,O00204,0,8,16,1391,1391,0.682113266914089,0.700933784014629
PHACE,O00204,5,8,16,578,578,0.767863770788185,0.796274895488508
CAPS,O00204,5,8,16,578,578,0.503437758168604,0.508449804322016
CAPS_Bootstrap,O00204,5,8,16,578,578,0.503300068246309,0.503276499769765
CoMap,O00204,5,8,16,578,578,0.507785467128028,0.522823268488267
DCA,O00204,5,8,16,578,578,0.753448234575735,0.774624334974995
GaussDCA,O00204,5,8,16,578,578,0.746566731720167,0.770046878652113
ZMIp,O00204,5,8,16,578,578,0.589387698902073,0.567790392483051
PSICOV,O00204,5,8,16,578,578,0.629172603297374,0.611943922062699
PHACE,O00212,0,8,16,773,773,0.626562058075842,0.677601268436042
CAPS,O00212,0,8,16,773,773,0.529234564347504,0.56556961634255
CAPS_Bootstrap,O00212,0,8,16,773,773,0.529237074685915,0.565702535482168
CoMap,O00212,0,8,16,773,773,0.508422185366735,0.519957677178398
DCA,O00212,0,8,16,773,773,0.670630212090124,0.688253743276679
GaussDCA,O00212,0,8,16,773,773,0.673175695238222,0.695258559568201
ZMIp,O00212,0,8,16,773,773,0.553750529263015,0.563664336302375
PSICOV,O00212,0,8,16,773,773,0.630851389639665,0.612814260937089
PHACE,O00212,5,8,16,351,351,0.523372375224227,0.545715083027811
CAPS,O00212,5,8,16,351,351,0.508611943084877,0.522981030662603
CAPS_Bootstrap,O00212,5,8,16,351,351,0.50868499443998,0.526023311659758
CoMap,O00212,5,8,16,351,351,0.507098156670806,0.516715406497238
DCA,O00212,5,8,16,351,351,0.596358795788995,0.605218746029651
GaussDCA,O00212,5,8,16,351,351,0.578611374907672,0.601677650679113
ZMIp,O00212,5,8,16,351,351,0.528291166467804,0.547137338384871
PSICOV,O00212,5,8,16,351,351,0.539979383284227,0.526537031835881
PHACE,O00214,0,8,16,747,747,0.70879501943517,0.756485501714123
CAPS,O00214,0,8,16,747,747,0.551026954762378,0.561195649724685
CAPS_Bootstrap,O00214,0,8,16,747,747,0.550979464488924,0.557892397272383
CoMap,O00214,0,8,16,747,747,0.511368096213502,0.529201504985398
DCA,O00214,0,8,16,747,747,0.721165787648586,0.748606483410583
GaussDCA,O00214,0,8,16,747,747,0.717020693214625,0.742238572580943
ZMIp,O00214,0,8,16,747,747,0.60763894489157,0.624191405587276
PSICOV,O00214,0,8,16,747,747,0.582237920893749,0.615148353840862
PHACE,O00214,5,8,16,423,423,0.629976135785702,0.655888927840676
CAPS,O00214,5,8,16,423,423,0.587255280027273,0.625295167811534
CAPS_Bootstrap,O00214,5,8,16,423,423,0.587266457645211,0.626099531263062
CoMap,O00214,5,8,16,423,423,0.508251876442611,0.518998723766053
DCA,O00214,5,8,16,423,423,0.621743820174484,0.676347932875857
GaussDCA,O00214,5,8,16,423,423,0.619027659015587,0.673288442758432
ZMIp,O00214,5,8,16,423,423,0.525884568739556,0.542418619918121
PSICOV,O00214,5,8,16,423,423,0.464832419563067,0.488419804183801
PHACE,O00338,0,8,16,1212,1212,0.868758781818777,0.892458664314837
CAPS,O00338,0,8,16,1212,1212,0.537056552189872,0.576335236544348
CAPS_Bootstrap,O00338,0,8,16,1212,1212,0.536611334400767,0.565461783300167
CoMap,O00338,0,8,16,1212,1212,0.510726072607261,0.529740112055344
DCA,O00338,0,8,16,1212,1212,0.807638684660544,0.827159447664645
GaussDCA,O00338,0,8,16,1212,1212,0.797507597294382,0.817636670934107
ZMIp,O00338,0,8,16,1212,1212,0.682885460575759,0.690725282585146
PSICOV,O00338,0,8,16,1212,1212,0.665135975231187,0.674632950827531
PHACE,O00338,5,8,16,484,484,0.728301516289871,0.755956821929133
CAPS,O00338,5,8,16,484,484,0.505220784099447,0.516062988240379
CAPS_Bootstrap,O00338,5,8,16,484,484,0.505114063247046,0.510234347364302
CoMap,O00338,5,8,16,484,484,0.510330578512397,0.528835677530279
DCA,O00338,5,8,16,484,484,0.752962570862647,0.774784899691117
GaussDCA,O00338,5,8,16,484,484,0.737014206679872,0.765512841707667
ZMIp,O00338,5,8,16,484,484,0.597239771873506,0.617784312586635
PSICOV,O00338,5,8,16,484,484,0.591169489788949,0.570623443437255
PHACE,O00411,0,8,16,5041,5041,0.953634747736676,0.962121498537723
CAPS,O00411,0,8,16,5041,5041,0.536018475125671,0.574184831177619
CAPS_Bootstrap,O00411,0,8,16,5041,5041,0.535533068434158,0.562758246048594
CoMap,O00411,0,8,16,5041,5041,0.506346943360418,0.518838789342191
DCA,O00411,0,8,16,5041,5041,0.843647848404833,0.860648789298421
GaussDCA,O00411,0,8,16,5041,5041,0.839833913388098,0.857254057717739
ZMIp,O00411,0,8,16,5041,5041,0.674690627511025,0.701015742586982
PSICOV,O00411,0,8,16,5041,5041,0.690668240326171,0.733371616896386
PHACE,O00411,5,8,16,1956,1956,0.887107102680228,0.900147880195473
CAPS,O00411,5,8,16,1956,1956,0.52560001003676,0.556390658520546
CAPS_Bootstrap,O00411,5,8,16,1956,1956,0.52518886881537,0.545034890374377
CoMap,O00411,5,8,16,1956,1956,0.505368098159509,0.516728406752278
DCA,O00411,5,8,16,1956,1956,0.778294514074465,0.796941635299906
GaussDCA,O00411,5,8,16,1956,1956,0.76723421405899,0.786750216578532
ZMIp,O00411,5,8,16,1956,1956,0.612645637564246,0.609533246861182
PSICOV,O00411,5,8,16,1956,1956,0.633133042476403,0.656836656369373
PHACE,O00418,0,8,16,2466,2466,0.958291647180243,0.960239396457722
CAPS,O00418,0,8,16,2466,2466,0.55808673548253,0.607130411530787
CAPS_Bootstrap,O00418,0,8,16,2466,2466,0.558019807418195,0.605447616192967
CoMap,O00418,0,8,16,2466,2466,0.508313057583131,0.52409944566125
DCA,O00418,0,8,16,2466,2466,0.89949460267095,0.897016576821068
GaussDCA,O00418,0,8,16,2466,2466,0.89053775301933,0.891115238917907
ZMIp,O00418,0,8,16,2466,2466,0.705828299750903,0.750378716229287
PSICOV,O00418,0,8,16,2466,2466,0.704279581053339,0.741223777615772
PHACE,O00418,5,8,16,1039,1039,0.939323088666172,0.946420454067933
CAPS,O00418,5,8,16,1039,1039,0.529909561740809,0.561311749267122
CAPS_Bootstrap,O00418,5,8,16,1039,1039,0.529801180338317,0.55711347223383
CoMap,O00418,5,8,16,1039,1039,0.505774783445621,0.517786012396234
DCA,O00418,5,8,16,1039,1039,0.853353478070368,0.867930068262129
GaussDCA,O00418,5,8,16,1039,1039,0.836648847034934,0.853880711309263
ZMIp,O00418,5,8,16,1039,1039,0.737557676043356,0.791763862156038
PSICOV,O00418,5,8,16,1039,1039,0.718816030443132,0.723704241117828
PHACE,O00571,0,8,16,2279,2279,0.835842106063693,0.874678916662237
CAPS,O00571,0,8,16,2279,2279,0.552531931570489,0.600758312666108
CAPS_Bootstrap,O00571,0,8,16,2279,2279,0.55209314262797,0.591649658180921
CoMap,O00571,0,8,16,2279,2279,0.508996136000313,0.525177312999382
DCA,O00571,0,8,16,2279,2279,0.766016325875196,0.757615638578367
GaussDCA,O00571,0,8,16,2279,2279,0.75975005780885,0.75509603644539
ZMIp,O00571,0,8,16,2279,2279,0.579007616906255,0.578932049900904
PSICOV,O00571,0,8,16,2279,2279,0.657002399572878,0.668170965407643
PHACE,O00571,5,8,16,1038,1038,0.746298183478678,0.790447727819507
CAPS,O00571,5,8,16,1038,1038,0.513004852224338,0.526843272537006
CAPS_Bootstrap,O00571,5,8,16,1038,1038,0.512884196301618,0.521961448313341
CoMap,O00571,5,8,16,1038,1038,0.507707129094412,0.522632304388843
DCA,O00571,5,8,16,1038,1038,0.703328432846626,0.694672582627419
GaussDCA,O00571,5,8,16,1038,1038,0.69150925709364,0.691223374827283
ZMIp,O00571,5,8,16,1038,1038,0.502593638277256,0.505885227710881
PSICOV,O00571,5,8,16,1038,1038,0.552853791009092,0.537685202672543
PHACE,O00762,0,8,16,657,657,0.869333648404142,0.885006321306849
CAPS,O00762,0,8,16,657,657,0.614927869634819,0.679695524454535
CAPS_Bootstrap,O00762,0,8,16,657,657,0.61527653255307,0.680939865022198
CoMap,O00762,0,8,16,657,657,0.50838296856937,0.523368467167238
DCA,O00762,0,8,16,657,657,0.770943521240638,0.795476288630955
GaussDCA,O00762,0,8,16,657,657,0.758532974708618,0.785992807876973
ZMIp,O00762,0,8,16,657,657,0.596795081188651,0.606105926459021
PSICOV,O00762,0,8,16,657,657,0.660184548093473,0.680650514061782
PHACE,O00762,5,8,16,262,262,0.739613076161063,0.767129675508598
CAPS,O00762,5,8,16,262,262,0.562758580502302,0.611294549098282
CAPS_Bootstrap,O00762,5,8,16,262,262,0.562729444671057,0.607101372423976
CoMap,O00762,5,8,16,262,262,0.50381679389313,0.51254216446454
DCA,O00762,5,8,16,262,262,0.718722685158208,0.745514969583145
GaussDCA,O00762,5,8,16,262,262,0.703586620826292,0.741947525193808
ZMIp,O00762,5,8,16,262,262,0.570144513722977,0.554542571002502
PSICOV,O00762,5,8,16,262,262,0.59960083911194,0.579978383484153
PHACE,O00764,0,8,16,1556,1556,0.937573932236777,0.955270837801211
CAPS,O00764,0,8,16,1556,1556,0.583624381282175,0.641802593303638
CAPS_Bootstrap,O00764,0,8,16,1556,1556,0.582519941052465,0.627178449037983
CoMap,O00764,0,8,16,1556,1556,0.510928754105511,0.529593836338655
DCA,O00764,0,8,16,1556,1556,0.808356077477681,0.837423131363844
GaussDCA,O00764,0,8,16,1556,1556,0.791924534598633,0.826371602576347
ZMIp,O00764,0,8,16,1556,1556,0.667510416597829,0.6661871850881
PSICOV,O00764,0,8,16,1556,1556,0.701625807059166,0.71833032949263
PHACE,O00764,5,8,16,710,710,0.858129339416787,0.882291066960756
CAPS,O00764,5,8,16,710,710,0.563600476096013,0.614375561910214
CAPS_Bootstrap,O00764,5,8,16,710,710,0.562734576472922,0.599766309547736
CoMap,O00764,5,8,16,710,710,0.507752430073398,0.522441651537505
DCA,O00764,5,8,16,710,710,0.774814520928386,0.805530479798912
GaussDCA,O00764,5,8,16,710,710,0.756357865502878,0.790300970714086
ZMIp,O00764,5,8,16,710,710,0.594711366792303,0.604381108273882
PSICOV,O00764,5,8,16,710,710,0.604265026780401,0.630063698931652
PHACE,O14520,0,8,16,1336,1336,0.792279774283766,0.832674963106078
CAPS,O14520,0,8,16,1336,1336,0.533590752626484,0.572721573433997
CAPS_Bootstrap,O14520,0,8,16,1336,1336,0.533388499946215,0.567095077126449
CoMap,O14520,0,8,16,1336,1336,0.512355341711786,0.532113518001662
DCA,O14520,0,8,16,1336,1336,0.757460378643912,0.784152206747704
GaussDCA,O14520,0,8,16,1336,1336,0.747110756032846,0.775279057411811
ZMIp,O14520,0,8,16,1336,1336,0.627239906414716,0.638014201015075
PSICOV,O14520,0,8,16,1336,1336,0.652208588063394,0.656294538605381
PHACE,O14520,5,8,16,467,467,0.651504660941176,0.688350187757573
CAPS,O14520,5,8,16,467,467,0.50862033390038,0.522757128048676
CAPS_Bootstrap,O14520,5,8,16,467,467,0.508590529554448,0.519978352756674
CoMap,O14520,5,8,16,467,467,0.518201284796574,0.545716393805152
DCA,O14520,5,8,16,467,467,0.723837515876546,0.764306411961016
GaussDCA,O14520,5,8,16,467,467,0.714511048241773,0.754547884263074
ZMIp,O14520,5,8,16,467,467,0.538055564471386,0.543559648038283
PSICOV,O14520,5,8,16,467,467,0.536845049498141,0.528332484854879
PHACE,O14531,0,8,16,2736,2736,0.870875734200266,0.911004098973701
CAPS,O14531,0,8,16,2736,2736,0.758142061873739,0.819471704969275
CAPS_Bootstrap,O14531,0,8,16,2736,2736,0.757846498174652,0.817217229677579
CoMap,O14531,0,8,16,2736,2736,0.514259863077528,0.537345262520749
DCA,O14531,0,8,16,2736,2736,0.831340599457953,0.854671989372713
GaussDCA,O14531,0,8,16,2736,2736,0.81950055145173,0.844799638165556
ZMIp,O14531,0,8,16,2736,2736,0.59865241655552,0.617657585603659
PSICOV,O14531,0,8,16,2736,2736,0.7093528110145,0.718597240137254
PHACE,O14531,5,8,16,1397,1397,0.754609145581927,0.820527450177305
CAPS,O14531,5,8,16,1397,1397,0.68931071746441,0.756727848742746
CAPS_Bootstrap,O14531,5,8,16,1397,1397,0.688021012405661,0.750531456742368
CoMap,O14531,5,8,16,1397,1397,0.503937007874016,0.512469904399693
DCA,O14531,5,8,16,1397,1397,0.747914669383059,0.779130758283524
GaussDCA,O14531,5,8,16,1397,1397,0.732995697396352,0.762258328157683
ZMIp,O14531,5,8,16,1397,1397,0.514356103092371,0.531218982682555
PSICOV,O14531,5,8,16,1397,1397,0.628018983310695,0.613255824419486
PHACE,O14556,0,8,16,1780,1780,0.717208685771998,0.774872128730862
CAPS,O14556,0,8,16,1780,1780,0.537325779573286,0.573660892591497
CAPS_Bootstrap,O14556,0,8,16,1780,1780,0.537099798005302,0.564257068760753
CoMap,O14556,0,8,16,1780,1780,0.51376404494382,0.536466577134868
DCA,O14556,0,8,16,1780,1780,0.771969132685267,0.776862377462202
GaussDCA,O14556,0,8,16,1780,1780,0.757879686908218,0.767243884808492
ZMIp,O14556,0,8,16,1780,1780,0.547732609519,0.542844678407631
PSICOV,O14556,0,8,16,1780,1780,0.60023008458528,0.622188846761955
PHACE,O14556,5,8,16,908,908,0.630129393157252,0.694333837684258
CAPS,O14556,5,8,16,908,908,0.518085689611675,0.535714957042917
CAPS_Bootstrap,O14556,5,8,16,908,908,0.518045663606901,0.533014281495995
CoMap,O14556,5,8,16,908,908,0.513215859030837,0.53527943552897
DCA,O14556,5,8,16,908,908,0.741109375303231,0.741181896206301
GaussDCA,O14556,5,8,16,908,908,0.718025286731746,0.727430205624174
ZMIp,O14556,5,8,16,908,908,0.53109110889014,0.523374772413216
PSICOV,O14556,5,8,16,908,908,0.504904398494051,0.514965265403596
PHACE,O14593,0,8,16,838,838,0.950883168813111,0.958976544526771
CAPS,O14593,0,8,16,838,838,0.556177767271774,0.609406905407026
CAPS_Bootstrap,O14593,0,8,16,838,838,0.556103718935299,0.608281954261078
CoMap,O14593,0,8,16,838,838,0.508949880668258,0.525617964654246
DCA,O14593,0,8,16,838,838,0.807146803675069,0.819193323641518
GaussDCA,O14593,0,8,16,838,838,0.783623640785818,0.797704957290843
ZMIp,O14593,0,8,16,838,838,0.737480135109734,0.747958828377613
PSICOV,O14593,0,8,16,838,838,0.759104385370327,0.765947216987531
PHACE,O14593,5,8,16,335,335,0.869512140788593,0.848994853361101
CAPS,O14593,5,8,16,335,335,0.537393628870572,0.580399480930016
CAPS_Bootstrap,O14593,5,8,16,335,335,0.537331254176877,0.579316180948854
CoMap,O14593,5,8,16,335,335,0.508955223880597,0.525630609059714
DCA,O14593,5,8,16,335,335,0.744557807975049,0.762890329481812
GaussDCA,O14593,5,8,16,335,335,0.71581198485186,0.735630290806685
ZMIp,O14593,5,8,16,335,335,0.684036533749165,0.681864962874649
PSICOV,O14593,5,8,16,335,335,0.712835820895522,0.71515842595624
PHACE,O14649,0,8,16,1155,1155,0.9089664736418,0.926508202329078
CAPS,O14649,0,8,16,1155,1155,0.682807293716385,0.730127318571615
CAPS_Bootstrap,O14649,0,8,16,1155,1155,0.680456138378216,0.716434808942005
CoMap,O14649,0,8,16,1155,1155,0.509089409868631,0.525267659305003
DCA,O14649,0,8,16,1155,1155,0.872540619553606,0.877155316834451
GaussDCA,O14649,0,8,16,1155,1155,0.863539288993833,0.869940979234415
ZMIp,O14649,0,8,16,1155,1155,0.608187252862577,0.615884088241869
PSICOV,O14649,0,8,16,1155,1155,0.748102546803847,0.753493866515744
PHACE,O14649,5,8,16,252,252,0.752456538170824,0.79204460230065
CAPS,O14649,5,8,16,252,252,0.580420131015369,0.639808756130285
CAPS_Bootstrap,O14649,5,8,16,252,252,0.579191861929957,0.629874946074247
CoMap,O14649,5,8,16,252,252,0.503968253968254,0.512962947190345
DCA,O14649,5,8,16,252,252,0.840561224489796,0.861095559709164
GaussDCA,O14649,5,8,16,252,252,0.820924666162761,0.841452248390879
ZMIp,O14649,5,8,16,252,252,0.508912824389014,0.546423940215922
PSICOV,O14649,5,8,16,252,252,0.667044595616024,0.681923074009711
